price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city
313000,3,1.5,1340,1.5,0,0,3,1340,0,1955,2005,Shoreline
2384000,5,2.5,3650,2,0,4,5,3370,280,1921,0,Seattle
342000,3,2,1930,1,0,0,4,1930,0,1966,0,Kent
420000,3,2.25,2000,1,0,0,4,1000,1000,1963,0,Bellevue
550000,4,2.5,1940,1,0,0,4,1140,800,1976,1992,Redmond
490000,2,1,880,1,0,0,3,880,0,1938,1994,Seattle
335000,2,2,1350,1,0,0,3,1350,0,1976,0,Redmond
482000,4,2.5,2710,2,0,0,3,2710,0,1989,0,Maple Valley
452500,3,2.5,2430,1,0,0,4,1570,860,1985,0,North Bend
640000,4,2,1520,1.5,0,0,3,1520,0,1945,2010,Seattle
463000,3,1.75,1710,1,0,0,3,1710,0,1948,1994,Lake Forest Park
1400000,4,2.5,2920,1.5,0,0,5,1910,1010,1909,1988,Seattle
588500,3,1.75,2330,1,0,0,3,1970,360,1980,0,Sammamish
365000,3,1,1090,1,0,0,4,1090,0,1955,2009,Seattle
1200000,5,2.75,2910,1.5,0,0,3,2910,0,1939,1969,Seattle
242500,3,1.5,1200,1,0,0,4,1200,0,1965,0,Kent
419000,3,1.5,1570,1,0,0,4,1570,0,1956,0,Bellevue
367500,4,3,3110,2,0,0,3,3110,0,1997,0,Auburn
257950,3,1.75,1370,1,0,0,3,1370,0,1987,2000,Des Moines
275000,3,1.5,1180,1,0,0,3,1180,0,1983,2009,North Bend
750000,3,1.75,2240,2,0,0,5,1550,690,1923,0,Seattle
435000,4,1,1450,1,0,0,4,1450,0,1954,1979,Bellevue
626000,3,2.25,1750,2.5,0,0,3,1470,280,2005,0,Seattle
612500,4,2.5,2730,2,0,0,3,2730,0,1991,0,Bothell
495000,4,1.75,1600,1,0,0,3,1130,470,1959,1989,Seattle
285000,3,2.5,2090,1,0,0,4,1360,730,1987,0,Federal Way
615000,3,1.75,2360,1,0,0,4,1360,1000,1948,0,Seattle
698000,4,2.25,2200,1.5,0,0,5,1300,900,1920,0,Kirkland
675000,5,2.5,2820,2,0,0,3,2820,0,1979,2014,Issaquah
790000,3,2.5,2600,1,0,0,4,1700,900,1951,1999,Seattle
382500,4,1.75,1560,1,0,0,4,1560,0,1967,0,Kirkland
499950,4,2.5,2860,2,0,0,3,2190,670,2004,2003,Woodinville
650000,4,2,1820,1.5,0,1,3,1640,180,1945,2010,Seattle
625000,4,2.5,2820,2,0,0,3,2820,0,2014,0,Shoreline
400000,4,2.5,3630,1.5,0,0,3,2300,1330,1979,2014,Auburn
604000,3,2.5,3240,2,0,2,3,3240,0,1995,0,Federal Way
440000,2,1,800,1,0,0,4,800,0,1944,0,Seattle
287200,3,3,1850,1,0,0,4,1090,760,1992,0,Maple Valley
403000,3,2,1960,1,0,2,5,1650,310,1957,0,Normandy Park
750000,3,2.5,2390,1,0,2,4,1440,950,1955,2009,Seattle
335000,3,2.25,1580,1,0,0,4,1580,0,1978,2000,Fall City
260000,4,2,1480,1,0,0,4,1480,0,1974,0,Renton
308500,2,1,850,1,0,0,4,850,0,1950,1983,Shoreline
439950,3,2.5,1770,2,0,0,3,1770,0,1990,2009,Seattle
235000,2,1,1210,1,0,0,2,1210,0,1949,0,Seattle
315000,3,1,1160,1,0,0,3,1160,0,1968,1997,Woodinville
437500,3,2.25,1970,2,0,0,4,1970,0,1977,0,Issaquah
407500,3,2.5,1930,2,0,0,3,1930,0,1996,0,Renton
445700,3,2.5,1270,3,0,0,3,1270,0,2001,0,Seattle
838000,4,2.5,3310,2,0,0,3,3310,0,2001,0,Redmond
630000,4,2.75,2710,2,0,0,3,2710,0,2000,0,Issaquah
550000,3,1.75,2910,1.5,0,0,3,2910,0,1979,2014,Sammamish
805000,3,2,2710,1.5,0,0,4,1880,830,1929,0,Seattle
284000,3,1.75,1800,1,0,0,3,1800,0,1968,1997,Carnation
470000,5,2.5,2210,1,0,0,3,1460,750,1976,0,Bothell
430000,4,1.5,1920,1,0,0,4,1070,850,1954,1979,Bellevue
491500,4,1.75,2190,1,0,2,3,2190,0,1968,1997,Auburn
785000,5,3.25,3660,2,0,2,3,3660,0,2006,0,Snoqualmie
385000,3,3.25,1320,2,0,0,3,1040,280,2008,0,Seattle
295000,2,2.5,1630,2,0,0,3,1280,350,2009,0,Seattle
555000,4,2.5,3310,2,0,0,3,3310,0,2012,1912,Snoqualmie
459990,3,2.5,2680,2,0,0,3,2680,0,2013,1923,North Bend
625000,4,3.25,2730,1,0,0,3,1560,1170,2007,0,Renton
300000,3,2.5,2540,2,0,0,3,2540,0,2006,0,Kent
625000,4,2.75,2920,2,0,0,3,2920,0,2012,1912,Renton
553000,2,1,900,1,0,0,3,900,0,1944,0,Seattle
379880,3,2.5,1650,1,0,0,4,1130,520,1986,0,Issaquah
310000,3,1,1010,1,0,0,4,1010,0,1973,0,Snoqualmie
775000,2,2.5,2680,1,0,0,3,2680,0,2004,2003,Redmond
365000,3,2.5,2200,1,0,0,5,1570,630,1988,0,Renton
331950,4,2.5,2530,2,0,2,3,2010,520,1990,2009,Auburn
783500,3,2.5,2850,2,0,0,3,1990,860,1980,0,Seattle
628000,4,2,2280,1,0,0,3,1140,1140,1900,2005,Seattle
560000,3,2.5,1900,2,0,0,3,1900,0,1987,2000,Sammamish
900000,3,1,1330,1,0,0,3,1330,0,1928,1954,Kirkland
531000,2,3,1270,2,0,0,3,1110,160,2000,0,Seattle
831000,4,3,2170,2,0,0,4,1610,560,1982,2011,Seattle
780000,4,2.5,2730,2,0,2,3,2730,0,1996,0,Sammamish
755000,4,2.5,2120,1,0,0,4,1620,500,1960,2001,Bellevue
705380,3,2.5,2490,2,0,0,3,2490,0,2003,0,Issaquah
627000,4,2.25,1990,1,0,0,3,1210,780,1973,2013,Issaquah
865000,4,3,3690,2,0,0,3,3690,0,1998,2006,Sammamish
580000,2,1,2540,1,0,0,5,1320,1220,1942,0,Seattle
410000,3,2.25,1800,1,0,0,4,1360,440,1978,2000,Issaquah
